delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
171.2182251,148.7909288,157.6727334,285.1287191,0.552987906,0.521837748,0.600494491,0.943669369,1.085908904,1.383714957
70.11933614,71.84966733,66.33279124,161.2129006,0.411460813,0.445681872,0.434948666,1.083169666,1.057084058,1.602784314
58.75874919,64.25035043,68.88590951,151.9554497,0.453329641,0.422823601,0.386684053,0.932706716,0.852986476,1.795325385
48.01259006,65.47517567,72.92913471,145.9735081,0.499605275,0.448541496,0.328913038,0.897791753,0.658345807,1.92886556
67.32452143,66.38127615,90.58498202,184.0254635,0.492241564,0.360717886,0.36584351,0.732806638,0.74321946,2.053840974
52.5779062,67.61172423,67.15685656,161.6316614,0.415493202,0.418307426,0.325294597,1.006773213,0.78291196,1.903562871
57.57698548,63.9172989,57.97080341,159.3626691,0.363766519,0.40108075,0.361295313,1.102577421,0.993206616,1.788837011
60.55346971,76.31274187,84.24615587,170.9537942,0.492800737,0.446393964,0.354209569,0.905830552,0.718768341,1.864594242
46.7536495,56.7425459,68.01836837,154.8163523,0.439348734,0.366515197,0.301994258,0.834223861,0.687367995,2.153071616
54.76109735,63.85789869,60.309109,154.8795709,0.38939357,0.41230679,0.353572114,1.058843345,0.90800707,1.814116516
